method,n,T,seed,value,true,bias,mae,mae_rel,mse,missing,mnar_c0,reward_type
scope,512,8,353,4.569949205158999,5.230413190710399,-0.6604639855513996,0.6604639855513996,0.12627376871954066,0.4362126762104394,0.556640625,-1.5,sigmoid
naive,512,8,354,4.035118103027344,5.209107422948005,-1.1739893199206612,1.1739893199206612,0.2253724533974502,1.3782509232877767,0.544189453125,-1.5,sigmoid
prox,512,8,354,5.055724143981934,5.209107422948005,-0.1533832789660714,0.1533832789660714,0.029445213260598638,0.02352643026638368,0.544189453125,-1.5,sigmoid
ipw,512,8,354,4.135401248931885,5.209107422948005,-1.0737061740161202,1.0737061740161202,0.20612095064234146,1.1528449481203351,0.544189453125,-1.5,sigmoid
impute,512,8,354,1.8602540493011475,5.209107422948005,-3.3488533736468575,3.3488533736468575,0.6428842989288233,11.214818918185939,0.544189453125,-1.5,sigmoid
scope,512,8,354,4.638146808920776,5.209107422948005,-0.5709606140272294,0.5709606140272294,0.10960814735974557,0.32599602277035084,0.544189453125,-1.5,sigmoid
naive,512,8,355,4.554351806640625,5.2291127047455985,-0.6747608981049735,0.6747608981049735,0.12903927228277273,0.45530226961143044,0.520263671875,-1.5,sigmoid
prox,512,8,355,5.367649555206299,5.2291127047455985,0.1385368504607003,0.1385368504607003,0.026493376272990515,0.019192458935570436,0.520263671875,-1.5,sigmoid
ipw,512,8,355,4.65056848526001,5.2291127047455985,-0.5785442194855888,0.5785442194855888,0.11063908011784487,0.3347134139001891,0.520263671875,-1.5,sigmoid
impute,512,8,355,1.8497185707092285,5.2291127047455985,-3.37939413403637,3.37939413403637,0.6462653082557304,11.420304713159426,0.520263671875,-1.5,sigmoid
scope,512,8,355,4.455096695558682,5.2291127047455985,-0.7740160091869166,0.7740160091869166,0.148020525257463,0.599100782477641,0.520263671875,-1.5,sigmoid
naive,512,8,356,4.187543869018555,5.246611697810376,-1.0590678287918216,1.0590678287918216,0.20185748246507618,1.1216246659818232,0.541015625,-1.5,sigmoid
prox,512,8,356,5.165081024169922,5.246611697810376,-0.08153067364045441,0.08153067364045441,0.015539681290780575,0.006647250744266288,0.541015625,-1.5,sigmoid
ipw,512,8,356,4.0637922286987305,5.246611697810376,-1.1828194691116458,1.1828194691116458,0.22544444629002836,1.3990618965095556,0.541015625,-1.5,sigmoid
