method,n,T,seed,value,true,bias,mae,mae_rel,mse,missing,mnar_c0
ipw,1024,8,343,3.9799582958221436,4.890601381500448,-0.9106430856783048,0.9106430856783048,0.18620268033354156,0.8292708294937043,0.385498046875,-0.7
impute,1024,8,343,-3.012782335281372,4.890601381500448,-7.90338371678182,7.90338371678182,1.6160351458366136,62.463474174692024,0.385498046875,-0.7
scope,1024,8,343,4.014193897518681,4.890601381500448,-0.876407483981767,0.876407483981767,0.17920239570064553,0.7680900779792512,0.385498046875,-0.7
naive,1024,8,344,4.140279769897461,4.889726349741118,-0.7494465798436574,0.7494465798436574,0.15326963642522368,0.5616701760393555,0.3587646484375,-0.7
prox,1024,8,344,4.885983943939209,4.889726349741118,-0.003742405801909321,0.003742405801909321,0.0007653609904176864,1.4005601186164548e-05,0.3587646484375,-0.7
ipw,1024,8,344,4.191025257110596,4.889726349741118,-0.6987010926305226,0.6987010926305226,0.1428916554128872,0.48818321684308613,0.3587646484375,-0.7
impute,1024,8,344,0.8861374855041504,4.889726349741118,-4.003588864236968,4.003588864236968,0.8187756487536227,16.028723793842254,0.3587646484375,-0.7
scope,1024,8,344,4.821509988577944,4.889726349741118,-0.06821636116317453,0.06821636116317453,0.013950956819247396,0.004653471930344667,0.3587646484375,-0.7
naive,1024,8,345,4.022528171539307,4.902957506498938,-0.880429334959631,0.880429334959631,0.17957107190764143,0.7751558138574582,0.370361328125,-0.7
prox,1024,8,345,4.8052263259887695,4.902957506498938,-0.09773118051016816,0.09773118051016816,0.019933107798838584,0.009551383643911072,0.370361328125,-0.7
ipw,1024,8,345,4.084249973297119,4.902957506498938,-0.8187075332018185,0.8187075332018185,0.16698238402364501,0.6702820249214069,0.370361328125,-0.7
impute,1024,8,345,-0.20410287380218506,4.902957506498938,-5.107060380301123,5.107060380301123,1.041628521873103,26.08206572804145,0.370361328125,-0.7
scope,1024,8,345,4.4431192613893575,4.902957506498938,-0.45983824510958016,0.45983824510958016,0.09378793197780283,0.21145121166545833,0.370361328125,-0.7
naive,1024,8,346,4.051227569580078,4.903574249663223,-0.8523466800831452,0.8523466800831452,0.17382150992037781,0.7264948630487594,0.36962890625,-0.7
prox,1024,8,346,4.8690290451049805,4.903574249663223,-0.03454520455824284,0.03454520455824284,0.007044902921703571,0.0011933711579708416,0.36962890625,-0.7
ipw,1024,8,346,4.114973068237305,4.903574249663223,-0.7886011814259186,0.7886011814259186,0.1608217070395293,0.6218918233463546,0.36962890625,-0.7
impute,1024,8,346,-0.7314760088920593,4.903574249663223,-5.635050258555283,5.635050258555283,1.149172006305869,31.753791416443956,0.36962890625,-0.7
scope,1024,8,346,4.918392170145963,4.903574249663223,0.014817920482739666,0.014817920482739666,0.0030218611421571435,0.00021957076743279574,0.36962890625,-0.7
naive,1024,8,347,4.1453142166137695,4.887219736714584,-0.7419055201008149,0.7419055201008149,0.1518052307997017,0.5504238007560607,0.3682861328125,-0.7
prox,1024,8,347,4.965099334716797,4.887219736714584,0.07787959800221245,0.07787959800221245,0.015935358383244443,0.006065231784986213,0.3682861328125,-0.7
ipw,1024,8,347,4.1260786056518555,4.887219736714584,-0.761141131062729,0.761141131062729,0.15574113137266124,0.5793358213954504,0.3682861328125,-0.7
impute,1024,8,347,-4.417182922363281,4.887219736714584,-9.304402659077866,9.304402659077866,1.9038232697375534,86.57190884225525,0.3682861328125,-0.7
scope,1024,8,347,4.219249967700947,4.887219736714584,-0.667969769013637,0.667969769013637,0.13667684389052603,0.44618361231613163,0.3682861328125,-0.7
naive,1024,8,348,4.177820682525635,4.901199216325362,-0.7233785337997274,0.7233785337997274,0.14759215079244933,0.5232765031622434,0.368408203125,-0.7
prox,1024,8,348,4.953671455383301,4.901199216325362,0.05247223905793863,0.05247223905793863,0.010706000050591557,0.00275333587175346,0.368408203125,-0.7
