method,n,T,seed,value,true,bias,mae,mae_rel,mse,missing,mnar_c0
ipw,512,4,361,2.1666197776794434,2.3858393994841296,-0.21921962180468624,0.21921962180468624,0.09188364558489825,0.04805724258418967,0.53759765625,-1.5
impute,512,4,361,2.056556463241577,2.3858393994841296,-0.32928293624255245,0.32928293624255245,0.13801554971124652,0.10842725210051686,0.53759765625,-1.5
scope,512,4,361,1.8601123379620539,2.3858393994841296,-0.5257270615220757,0.5257270615220757,0.2203530806121105,0.2763889432166364,0.53759765625,-1.5
naive,512,4,362,2.180760622024536,2.3868928363416337,-0.2061322143170976,0.2061322143170976,0.08636006241194906,0.042490489779269856,0.5205078125,-1.5
prox,512,4,362,2.4009718894958496,2.3868928363416337,0.01407905315421587,0.01407905315421587,0.005898485654594653,0.00019821973771923585,0.5205078125,-1.5
ipw,512,4,362,2.188464403152466,2.3868928363416337,-0.19842843318916792,0.19842843318916792,0.08313252701084693,0.039373843097908076,0.5205078125,-1.5
impute,512,4,362,1.8225276470184326,2.3868928363416337,-0.5643651893232011,0.5643651893232011,0.23644345516080978,0.31850806691981265,0.5205078125,-1.5
scope,512,4,362,1.896272033939855,2.3868928363416337,-0.49062080240177863,0.49062080240177863,0.2055478968019981,0.2407087717493651,0.5205078125,-1.5
naive,512,4,363,2.222158908843994,2.3812903473893936,-0.15913143854539946,0.15913143854539946,0.06682571855206784,0.025322814733528244,0.54638671875,-1.5
prox,512,4,363,2.4289727210998535,2.3812903473893936,0.04768237371045991,0.04768237371045991,0.02002375466844438,0.0022736087626639588,0.54638671875,-1.5
ipw,512,4,363,2.240208864212036,2.3812903473893936,-0.14108148317735747,0.14108148317735747,0.05924581323399936,0.019903984895523,0.54638671875,-1.5
impute,512,4,363,1.7430498600006104,2.3812903473893936,-0.6382404873887833,0.6382404873887833,0.2680229599420691,0.4073509197422716,0.54638671875,-1.5
scope,512,4,363,1.6991467352562004,2.3812903473893936,-0.6821436121331932,0.6821436121331932,0.28645965532133727,0.4653199075741203,0.54638671875,-1.5
naive,512,4,364,2.184004783630371,2.386475265988007,-0.20247048235763598,0.20247048235763598,0.0848408048653346,0.040994296226133785,0.5361328125,-1.5
prox,512,4,364,2.3748927116394043,2.386475265988007,-0.01158255434860278,0.01158255434860278,0.004853414788611929,0.00013415556523833718,0.5361328125,-1.5
ipw,512,4,364,2.174633502960205,2.386475265988007,-0.211841763027802,0.211841763027802,0.08876763402787623,0.044876932562727415,0.5361328125,-1.5
impute,512,4,364,2.3775925636291504,2.386475265988007,-0.008882702358856687,0.008882702358856687,0.0037221011612618682,7.890240119603814e-05,0.5361328125,-1.5
scope,512,4,364,1.8378440394304245,2.386475265988007,-0.5486312265575826,0.5486312265575826,0.22989185531342507,0.3009962227540775,0.5361328125,-1.5
naive,512,4,365,2.2509138584136963,2.3816723459155633,-0.13075848750186703,0.13075848750186703,0.054901963205018785,0.017097782053775917,0.5380859375,-1.5
prox,512,4,365,2.4211175441741943,2.3816723459155633,0.03944519825863102,0.03944519825863102,0.01656197517105044,0.0015559236656627078,0.5380859375,-1.5
ipw,512,4,365,2.250678300857544,2.3816723459155633,-0.13099404505801937,0.13099404505801937,0.05500086747140803,0.01715943984066241,0.5380859375,-1.5
impute,512,4,365,1.0705318450927734,2.3816723459155633,-1.3111405008227899,1.3111405008227899,0.5505125434534786,1.7190894128978362,0.5380859375,-1.5
scope,512,4,365,2.0952203341479856,2.3816723459155633,-0.28645201176757773,0.28645201176757773,0.12027347601311622,0.08205475504569248,0.5380859375,-1.5
naive,512,4,366,2.171363592147827,2.3844125199866713,-0.2130489278388441,0.2130489278388441,0.08935070003743943,0.045389845653281004,0.560546875,-1.5
prox,512,4,366,2.3514602184295654,2.3844125199866713,-0.03295230155710582,0.03295230155710582,0.013819882793305423,0.0010858541779104388,0.560546875,-1.5
ipw,512,4,366,2.17608380317688,2.3844125199866713,-0.20832871680979137,0.20832871680979137,0.08737108829262309,0.04340085424761425,0.560546875,-1.5
impute,512,4,366,2.1921660900115967,2.3844125199866713,-0.19224642997507457,0.19224642997507457,0.0806263296990863,0.03695868983816125,0.560546875,-1.5
scope,512,4,366,2.052135662393824,2.3844125199866713,-0.3322768575928472,0.3322768575928472,0.13935376316288786,0.11040791009177725,0.560546875,-1.5
naive,512,4,367,2.111727237701416,2.3834440527367224,-0.2717168150353064,0.2717168150353064,0.11400175922875776,0.07383002757293092,0.5830078125,-1.5
prox,512,4,367,2.329087018966675,2.3834440527367224,-0.054357033770047636,0.054357033770047636,0.02280608756376459,0.0029546871202780992,0.5830078125,-1.5
ipw,512,4,367,2.1187219619750977,2.3834440527367224,-0.2647220907616248,0.2647220907616248,0.11106704621728591,0.0700777853372059,0.5830078125,-1.5
impute,512,4,367,1.6262335777282715,2.3834440527367224,-0.757210475008451,0.757210475008451,0.31769593002991003,0.573367703462524,0.5830078125,-1.5
scope,512,4,367,1.8331760213780688,2.3834440527367224,-0.5502680313586537,0.5502680313586537,0.23087096620825812,0.30279490633532824,0.5830078125,-1.5
naive,512,4,368,2.309939384460449,2.3830405500951555,-0.07310116563470626,0.07310116563470626,0.030675586125375544,0.005343780417152759,0.52490234375,-1.5
prox,512,4,368,2.4557197093963623,2.3830405500951555,0.07267915930120683,0.07267915930120683,0.030498498776407614,0.005282260196730199,0.52490234375,-1.5
ipw,512,4,368,1.5024703741073608,2.3830405500951555,-0.8805701759877946,0.8805701759877946,0.36951539744157236,0.7754038348391756,0.52490234375,-1.5
impute,512,4,368,1.4774601459503174,2.3830405500951555,-0.9055804041448381,0.9055804041448381,0.38001048874668875,0.8200758683711283,0.52490234375,-1.5
scope,512,4,368,1.8859263114428684,2.3830405500951555,-0.4971142386522871,0.4971142386522871,0.2086050271500572,0.24712256627084306,0.52490234375,-1.5
naive,512,4,369,2.2414281368255615,2.3776751302599695,-0.13624699343440794,0.13624699343440794,0.0573026111517224,0.0185632432199156,0.548828125,-1.5
prox,512,4,369,2.4215476512908936,2.3776751302599695,0.043872521030924094,0.043872521030924094,0.01845185680439328,0.001924798101608877,0.548828125,-1.5
ipw,512,4,369,2.2489640712738037,2.3776751302599695,-0.12871105898616575,0.12871105898616575,0.05413315610198303,0.016566536705340237,0.548828125,-1.5
impute,512,4,369,2.161328077316284,2.3776751302599695,-0.21634705294368528,0.21634705294368528,0.09099100637858394,0.04680604731741776,0.548828125,-1.5
scope,512,4,369,1.8687548922045292,2.3776751302599695,-0.5089202380554403,0.5089202380554403,0.2140411158692635,0.258999808702406,0.548828125,-1.5
naive,512,4,370,2.2637972831726074,2.3794951941922307,-0.11569791101962323,0.11569791101962323,0.04862288072781727,0.013386006614304655,0.5361328125,-1.5
prox,512,4,370,2.4807937145233154,2.3794951941922307,0.10129852033108477,0.10129852033108477,0.04257143304106259,0.010261390221267196,0.5361328125,-1.5
ipw,512,4,370,2.2556662559509277,2.3794951941922307,-0.12382893824130292,0.12382893824130292,0.05204000350307043,0.015333605945968413,0.5361328125,-1.5
impute,512,4,370,1.5629302263259888,2.3794951941922307,-0.8165649678662419,0.8165649678662419,0.34316731122604427,0.6667783467463967,0.5361328125,-1.5
scope,512,4,370,1.8621104462088327,2.3794951941922307,-0.517384747983398,0.517384747983398,0.21743466817928792,0.2676869774458442,0.5361328125,-1.5
naive,512,8,321,4.109020233154297,5.224911543756256,-1.1158913106019588,1.1158913106019588,0.21357133058748975,1.2452134170769573,0.546875,-1.5
prox,512,8,321,5.11605978012085,5.224911543756256,-0.10885176363540605,0.10885176363540605,0.020833226117575786,0.011848706446538307,0.546875,-1.5
ipw,512,8,321,4.057103157043457,5.224911543756256,-1.1678083867127986,1.1678083867127986,0.22350778131513518,1.3637764280767495,0.546875,-1.5
impute,512,8,321,1.6977297067642212,5.224911543756256,-3.5271818369920345,3.5271818369920345,0.6750701533324521,12.441011711206503,0.546875,-1.5
scope,512,8,321,3.9523153878207,5.224911543756256,-1.2725961559355556,1.2725961559355556,0.24356319629110315,1.619500976101953,0.546875,-1.5
naive,512,8,322,4.196903228759766,5.224464495581968,-1.027561266822202,1.027561266822202,0.19668260119121342,1.0558821570732488,0.547607421875,-1.5
prox,512,8,322,5.128331184387207,5.224464495581968,-0.09613331119476065,0.09613331119476065,0.01840060570342762,0.009241613521268694,0.547607421875,-1.5
ipw,512,8,322,3.9380993843078613,5.224464495581968,-1.2863651112741064,1.2863651112741064,0.2462195144328978,1.654735199503244,0.547607421875,-1.5
impute,512,8,322,1.7325416803359985,5.224464495581968,-3.491922815245969,3.491922815245969,0.6683790880766611,12.193524947635336,0.547607421875,-1.5
scope,512,8,322,3.351975406056941,5.224464495581968,-1.8724890895250268,1.8724890895250268,0.3584078504329935,3.5062153903902638,0.547607421875,-1.5
naive,512,8,323,3.7648520469665527,5.23134959058933,-1.4664975436227774,1.4664975436227774,0.2803287217242867,2.15061504545164,0.545166015625,-1.5
prox,512,8,323,5.051321506500244,5.23134959058933,-0.180028084089086,0.180028084089086,0.03441331552625318,0.03241011106078702,0.545166015625,-1.5
ipw,512,8,323,3.844461441040039,5.23134959058933,-1.386888149549291,1.386888149549291,0.2651109671668976,1.9234587393602567,0.545166015625,-1.5
impute,512,8,323,2.4791300296783447,5.23134959058933,-2.7522195609109854,2.7522195609109854,0.5261012504042839,7.574712511461057,0.545166015625,-1.5
scope,512,8,323,4.189033214814326,5.23134959058933,-1.0423163757750045,1.0423163757750045,0.19924425957883343,1.0864234272087403,0.545166015625,-1.5
naive,512,8,324,4.077117443084717,5.2255579859311645,-1.1484405428464477,1.1484405428464477,0.21977376309638294,1.3189156804534434,0.521484375,-1.5
prox,512,8,324,5.145996570587158,5.2255579859311645,-0.07956141534400629,0.07956141534400629,0.01522543918911827,0.00633001881154148,0.521484375,-1.5
ipw,512,8,324,4.021281719207764,5.2255579859311645,-1.2042762667234008,1.2042762667234008,0.23045888495844635,1.4502813265932517,0.521484375,-1.5
impute,512,8,324,2.5069501399993896,5.2255579859311645,-2.718607845931775,2.718607845931775,0.5202521631663292,7.3908286199618045,0.521484375,-1.5
scope,512,8,324,4.758309955209382,5.2255579859311645,-0.4672480307217821,0.4672480307217821,0.08941591156002093,0.21832072221338344,0.521484375,-1.5
naive,512,8,325,4.277548789978027,5.217935715662823,-0.9403869256847956,0.9403869256847956,0.18022202206554788,0.8843275699989014,0.5341796875,-1.5
prox,512,8,325,5.216751575469971,5.217935715662823,-0.0011841401928522899,0.0011841401928522899,0.00022693652382451231,1.4021879963282583e-06,0.5341796875,-1.5
ipw,512,8,325,4.234472274780273,5.217935715662823,-0.9834634408825496,0.9834634408825496,0.18847749272388695,0.967200339552544,0.5341796875,-1.5
impute,512,8,325,1.8883352279663086,5.217935715662823,-3.3296004876965144,3.3296004876965144,0.638106843229586,11.086239407668867,0.5341796875,-1.5
scope,512,8,325,4.430550432568916,5.217935715662823,-0.787385283093907,0.787385283093907,0.15089976688106577,0.619975584032872,0.5341796875,-1.5
naive,512,8,326,3.954273223876953,5.197432744370016,-1.2431595204930632,1.2431595204930632,0.2391872260087797,1.5454455933925428,0.551025390625,-1.5
prox,512,8,326,4.98356819152832,5.197432744370016,-0.21386455284169603,0.21386455284169603,0.04114811357075457,0.04573804696217859,0.551025390625,-1.5
ipw,512,8,326,3.9612982273101807,5.197432744370016,-1.2361345170598357,1.2361345170598357,0.23783559650653416,1.5280285442667532,0.551025390625,-1.5
impute,512,8,326,2.688488721847534,5.197432744370016,-2.508944022522482,2.508944022522482,0.4827275591473945,6.294800108151294,0.551025390625,-1.5
scope,512,8,326,4.173894291144473,5.197432744370016,-1.0235384532255436,1.0235384532255436,0.196931543623006,1.0476309652313383,0.551025390625,-1.5
naive,512,8,327,4.444381237030029,5.220016790867233,-0.775635553837204,0.775635553837204,0.14858870860228457,0.6016105123763461,0.5302734375,-1.5
prox,512,8,327,5.357027053833008,5.220016790867233,0.13701026296577457,0.13701026296577457,0.026247092385887176,0.018771812157950696,0.5302734375,-1.5
ipw,512,8,327,4.3379387855529785,5.220016790867233,-0.8820780053142547,0.8820780053142547,0.16897991724040215,0.7780616074591744,0.5302734375,-1.5
impute,512,8,327,2.5551559925079346,5.220016790867233,-2.6648607983592987,2.6648607983592987,0.510508089365086,7.101483074632159,0.5302734375,-1.5
scope,512,8,327,3.9287461492025217,5.220016790867233,-1.2912706416647115,1.2912706416647115,0.24736905902752562,1.6673798700251958,0.5302734375,-1.5
naive,512,8,328,4.161380767822266,5.250751857241428,-1.0893710894191626,1.0893710894191626,0.20746954322680222,1.1867293704622932,0.540283203125,-1.5
prox,512,8,328,5.254065990447998,5.250751857241428,0.0033141332065698137,0.0033141332065698137,0.0006311730770516644,1.0983478910888715e-05,0.540283203125,-1.5
ipw,512,8,328,4.289664268493652,5.250751857241428,-0.9610875887477759,0.9610875887477759,0.18303808956850984,0.923689353245014,0.540283203125,-1.5
impute,512,8,328,1.7263505458831787,5.250751857241428,-3.5244013113582495,3.5244013113582495,0.6712184097021591,12.421404603503749,0.540283203125,-1.5
scope,512,8,328,3.8823701433237052,5.250751857241428,-1.368381713917723,1.368381713917723,0.26060681424709825,1.8724685149844051,0.540283203125,-1.5
naive,512,8,329,4.1068572998046875,5.238570367303479,-1.1317130674987919,1.1317130674987919,0.2160347171362583,1.280774467147525,0.5283203125,-1.5
prox,512,8,329,5.223101615905762,5.238570367303479,-0.01546875139771764,0.01546875139771764,0.0029528574235187914,0.00023928226980439142,0.5283203125,-1.5
ipw,512,8,329,4.894327640533447,5.238570367303479,-0.3442427267700321,0.3442427267700321,0.065713105414909,0.11850305493406697,0.5283203125,-1.5
impute,512,8,329,1.9445319175720215,5.238570367303479,-3.294038449731458,3.294038449731458,0.6288048491800718,10.850689308309226,0.5283203125,-1.5
scope,512,8,329,3.6508067281207883,5.238570367303479,-1.587763639182691,1.587763639182691,0.3030910206136989,2.5209933739106627,0.5283203125,-1.5
naive,512,8,330,3.8796322345733643,5.2283762281784405,-1.3487439936050762,1.3487439936050762,0.25796613226416126,1.81911036028577,0.546142578125,-1.5
prox,512,8,330,5.110418319702148,5.2283762281784405,-0.11795790847629206,0.11795790847629206,0.022561098002197223,0.013914068172101295,0.546142578125,-1.5
