method,n,T,mnar_c0,mean_value,true_mean,mean_bias,mean_mae,mean_mae_rel,mean_mse,sd,n_rep,missing
prox,512,8,-2.8,5.522141151428222,5.580757308998427,-0.05861615757020488,0.11189863622523945,0.020055724829536395,0.017435635448878717,0.1210580585154212,50,0.7816748046875
prox,512,8,-1.5,5.189539365768432,5.227582534845942,-0.038043169077509355,0.09192602295342306,0.017586953518832504,0.011783351114650118,0.10462363055272228,50,0.5373828125
prox,512,8,-0.7,4.889198532104492,4.894606896604784,-0.005408364500291683,0.09162441765831765,0.01871926912271737,0.01323711263796012,0.11575675892692051,50,0.3722216796875
prox,512,8,0.3,4.516622924804688,4.479611629645282,0.03701129515940561,0.10720630357721336,0.023944258922913523,0.018026243670815515,0.13082460096979256,50,0.2008740234375
prox,1024,8,-2.8,5.494624624252319,5.580757308998427,-0.08613268474610819,0.10754390664915359,0.019270318862620123,0.016724709463368553,0.09712021037463425,50,0.78260986328125
prox,1024,8,-1.5,5.184625730514527,5.227582534845942,-0.042956804331415605,0.07049860865182998,0.013485018197883026,0.00868343113407871,0.08376920520309322,50,0.5379248046875
prox,1024,8,-0.7,4.893384389877319,4.894606896604784,-0.001222506727464534,0.06494943881960857,0.013269785142344002,0.007244493639281444,0.08512175477171102,50,0.3726123046875
prox,1024,8,0.3,4.519292421340943,4.479611629645282,0.039680791695660494,0.07623391957530341,0.0170239388636869,0.009286993586119709,0.08909786834215204,50,0.20078369140625
prox,2048,8,-2.8,5.467446174621582,5.580757308998427,-0.11331113437684551,0.11356522456308418,0.020345769948234383,0.016390415363106453,0.05912109393777427,50,0.78329833984375
prox,2048,8,-1.5,5.179625978469849,5.227582534845942,-0.04795655637609334,0.056253033724199514,0.010757468539056063,0.005200361233622944,0.05375385086641131,50,0.53840576171875
prox,2048,8,-0.7,4.888565883636475,4.894606896604784,-0.006041012968309261,0.04492598307359962,0.009177619180518591,0.0031951114159645324,0.05629867322352153,50,0.372891845703125
prox,2048,8,0.3,4.509452152252197,4.479611629645282,0.029840522606915377,0.049122138416027354,0.010966674839090428,0.0036405332687087268,0.055593026218924556,50,0.2002197265625
scope,64,8,-2.8,2.1218940226217793,5.580757308998427,-3.4588632863766486,3.4588632863766486,0.6197747310842364,12.802467019034934,0.9247921737882956,50,0.7871484375
